EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-03-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, PLOUMANAC'H (STAID: 11245).
Blended and updated with sources: 175637 907117 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
175637,19981031,   86,    0
175637,19981101,   50,    0
175637,19981102,   79,    0
175637,19981103,  101,    0
175637,19981104,   60,    0
175637,19981105,   60,    0
175637,19981106,   44,    0
175637,19981107,   45,    0
175637,19981108,   78,    0
175637,19981109,   68,    0
175637,19981110,   65,    0
175637,19981111,   38,    0
175637,19981112,   90,    0
175637,19981113,   51,    0
175637,19981114,  102,    0
175637,19981115,   54,    0
175637,19981116,   38,    0
175637,19981117,   29,    0
175637,19981118,   28,    0
175637,19981119,   58,    0
175637,19981120,   44,    0
175637,19981121,   39,    0
175637,19981122,   20,    0
175637,19981123,   32,    0
175637,19981124,   56,    0
175637,19981125,   59,    0
175637,19981126,   72,    0
175637,19981127,   61,    0
175637,19981128,   65,    0
175637,19981129,   78,    0
175637,19981130,  105,    0
175637,19981201,  104,    0
175637,19981202,   88,    0
175637,19981203,   31,    0
175637,19981204,   64,    0
175637,19981205,   54,    0
175637,19981206,   39,    0
175637,19981207,   49,    0
175637,19981208,   71,    0
175637,19981209,   44,    0
175637,19981210,   56,    0
175637,19981211,   52,    0
175637,19981212,   89,    0
175637,19981213,   59,    0
175637,19981214,   56,    0
175637,19981215,   55,    0
175637,19981216,   19,    0
175637,19981217,   32,    0
175637,19981218,   64,    0
175637,19981219,   76,    0
175637,19981220,  138,    0
175637,19981221,   34,    0
175637,19981222,   61,    0
175637,19981223,   48,    0
