EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-03-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, BORDEAUX-MERIGNAC (STAID: 34).
Blended and updated with sources: 175646 907510 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
175646,19220718,   51,    0
175646,19220719,   59,    0
175646,19220720,   39,    0
175646,19220721,   64,    0
175646,19220722,   73,    0
175646,19220723,   67,    0
175646,19220724,   80,    0
175646,19220725,   56,    0
175646,19220726,   45,    0
175646,19220727,   47,    0
175646,19220728,   68,    0
175646,19220729,   65,    0
175646,19220730,   51,    0
175646,19220731,   56,    0
175646,19220801,   54,    0
175646,19220802,   46,    0
175646,19220803,   39,    0
175646,19220804,   60,    0
175646,19220805,   60,    0
175646,19220806,   71,    0
175646,19220807,   65,    0
175646,19220808,   63,    0
175646,19220809,   60,    0
175646,19220810,   71,    0
175646,19220811,   59,    0
175646,19220812,   40,    0
175646,19220813,   43,    0
175646,19220814,   85,    0
175646,19220815,   56,    0
175646,19220816,   36,    0
175646,19220817,   43,    0
175646,19220818,   43,    0
175646,19220819,   38,    0
175646,19220820,   34,    0
175646,19220821,   57,    0
175646,19220822,   77,    0
175646,19220823,   98,    0
175646,19220824,   57,    0
175646,19220825,   74,    0
175646,19220826,   53,    0
175646,19220827,   51,    0
175646,19220828,   92,    0
175646,19220829,   87,    0
175646,19220830,   90,    0
175646,19220831,   77,    0
175646,19220901,   78,    0
175646,19220902,   46,    0
175646,19220903,   39,    0
175646,19220904,   63,    0
175646,19220905,   67,    0
175646,19220906,   74,    0
175646,19220907,   56,    0
175646,19220908,   55,    0
175646,19220909,   64,    0
175646,19220910,   53,    0
175646,19220911,   59,    0
175646,19220912,   98,    0
175646,19220913,   88,    0
175646,19220914,   86,    0
175646,19220915,   79,    0
175646,19220916,   68,    0
175646,19220917,   65,    0
175646,19220918,   69,    0
175646,19220919,   70,    0
175646,19220920,   69,    0
175646,19220921,   62,    0
175646,19220922,   68,    0
175646,19220923,   84,    0
175646,19220924,   80,    0
175646,19220925,   75,    0
175646,19220926,   89,    0
175646,19220927,   78,    0
175646,19220928,   81,    0
175646,19220929,   83,    0
175646,19220930,   71,    0
175646,19221001,   74,    0
175646,19221002,   88,    0
175646,19221003,   80,    0
175646,19221004,   75,    0
175646,19221005,   94,    0
175646,19221006,   84,    0
175646,19221007,   84,    0
175646,19221008,   82,    0
175646,19221009,   71,    0
175646,19221010,   78,    0
175646,19221011,   79,    0
175646,19221012,   73,    0
175646,19221013,   70,    0
175646,19221014,   78,    0
175646,19221015,   96,    0
175646,19221016,   75,    0
175646,19221017,   80,    0
175646,19221018,   93,    0
175646,19221019,   93,    0
175646,19221020,   89,    0
175646,19221021,   91,    0
175646,19221022,   93,    0
175646,19221023,   97,    0
175646,19221024,   88,    0
175646,19221025,   83,    0
175646,19221026,   87,    0
175646,19221027,   87,    0
175646,19221028,   87,    0
175646,19221029,   57,    0
175646,19221030,   94,    0
175646,19221031,   94,    0
175646,19221101,   78,    0
175646,19221102,   95,    0
175646,19221103,   89,    0
175646,19221104,   91,    0
175646,19221105,   73,    0
175646,19221106,   91,    0
175646,19221107,   85,    0
175646,19221108,   93,    0
175646,19221109,   87,    0
175646,19221110,   85,    0
175646,19221111,   88,    0
175646,19221112,   82,    0
